epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4756,0.87995,2.16459,1.53461,0.74471,0.37694,0.62023,0.2738,1.14482,3.44418,2.1387,0.000651852,0.000651852,0.000651852
2,19.2029,0.87836,1.5693,1.51282,0.38327,0.44382,0.29059,0.07036,2.0539,4.12825,2.97702,0.00129241,0.00129241,0.00129241
3,25.8343,0.9005,1.39768,1.5278,0.4381,0.49438,0.44399,0.15375,1.97224,2.58575,3.27954,0.00190657,0.00190657,0.00190657
4,32.3997,0.8977,1.28226,1.51859,0.85554,0.42135,0.58701,0.32905,1.29814,2.09183,1.97339,0.0018812,0.0018812,0.0018812
5,39.1043,0.85407,1.17304,1.47905,0.65616,0.68613,0.66142,0.37987,1.16221,2.1008,1.97007,0.0018416,0.0018416,0.0018416
6,45.8754,0.82701,1.13361,1.45035,0.75951,0.72472,0.71683,0.34377,1.54692,1.71538,2.70662,0.001802,0.001802,0.001802
7,52.4499,0.79896,1.04787,1.44213,0.71361,0.65794,0.70391,0.43692,1.10714,1.74367,1.83256,0.0017624,0.0017624,0.0017624
8,59.018,0.80046,0.96722,1.44113,0.70356,0.59551,0.65558,0.35558,1.57759,1.62159,2.31527,0.0017228,0.0017228,0.0017228
9,65.5653,0.73339,0.90905,1.38571,0.77725,0.82022,0.78817,0.63767,0.95089,0.98173,1.69423,0.0016832,0.0016832,0.0016832
10,72.1935,0.80564,0.91096,1.45283,0.8578,0.81338,0.84966,0.67114,0.94083,0.92784,1.58416,0.0016436,0.0016436,0.0016436
11,78.7497,0.7387,0.89268,1.38143,0.86222,0.80862,0.86552,0.69304,0.75889,0.82425,1.38997,0.001604,0.001604,0.001604
12,85.3521,0.70215,0.8164,1.37022,0.89835,0.79213,0.8403,0.65115,0.88165,1.03405,1.57896,0.0015644,0.0015644,0.0015644
13,91.9034,0.7015,0.82307,1.36636,0.89804,0.81461,0.86852,0.6836,0.84503,0.72428,1.46641,0.0015248,0.0015248,0.0015248
14,98.5696,0.68845,0.81341,1.35895,0.8138,0.74719,0.846,0.68376,0.79637,0.91722,1.34672,0.0014852,0.0014852,0.0014852
15,105.133,0.66023,0.80935,1.32337,0.89074,0.82584,0.8979,0.74697,0.71405,0.73062,1.31934,0.0014456,0.0014456,0.0014456
16,111.692,0.68382,0.79984,1.33972,0.96045,0.71348,0.88752,0.69869,0.8172,0.7765,1.37732,0.001406,0.001406,0.001406
17,118.275,0.64579,0.74115,1.32099,0.93192,0.76907,0.89419,0.73633,0.72398,0.68887,1.29834,0.0013664,0.0013664,0.0013664
18,124.805,0.63092,0.73064,1.3068,0.82922,0.83708,0.84294,0.66,0.83466,0.78664,1.48151,0.0013268,0.0013268,0.0013268
19,131.376,0.62483,0.73523,1.30196,0.89516,0.76748,0.91072,0.72941,0.76798,0.69032,1.32036,0.0012872,0.0012872,0.0012872
20,137.935,0.62757,0.76501,1.31137,0.9103,0.80899,0.88212,0.73361,0.72937,0.80813,1.34303,0.0012476,0.0012476,0.0012476
21,144.504,0.64203,0.74708,1.2977,0.90055,0.81461,0.90493,0.72041,0.71928,0.6585,1.28535,0.001208,0.001208,0.001208
22,151.065,0.62561,0.70615,1.29468,0.94651,0.79532,0.93424,0.76574,0.65401,0.61408,1.22894,0.0011684,0.0011684,0.0011684
23,157.693,0.59227,0.71506,1.27159,0.97613,0.76966,0.91901,0.75677,0.65723,0.5885,1.24325,0.0011288,0.0011288,0.0011288
24,164.279,0.61466,0.70887,1.29361,0.95008,0.74851,0.89863,0.74278,0.68683,0.70356,1.25703,0.0010892,0.0010892,0.0010892
25,170.832,0.60023,0.68336,1.28078,0.80655,0.7261,0.85918,0.70877,0.67061,0.68082,1.23826,0.0010496,0.0010496,0.0010496
26,177.391,0.57388,0.64218,1.27001,0.92245,0.78652,0.91038,0.76219,0.71108,0.64447,1.25332,0.00101,0.00101,0.00101
27,183.906,0.58859,0.67578,1.26911,0.98485,0.73046,0.91056,0.74176,0.70584,0.7091,1.26695,0.0009704,0.0009704,0.0009704
28,190.512,0.59455,0.67632,1.29635,0.95687,0.66854,0.86175,0.70491,0.70672,0.78268,1.23699,0.0009308,0.0009308,0.0009308
29,197.037,0.53841,0.63568,1.2434,0.95576,0.78652,0.93106,0.77232,0.65543,0.5574,1.23848,0.0008912,0.0008912,0.0008912
30,203.632,0.53293,0.61427,1.23231,0.9226,0.82584,0.90817,0.75212,0.64073,0.5689,1.24487,0.0008516,0.0008516,0.0008516
31,210.212,0.54935,0.64964,1.26184,0.90768,0.73034,0.89091,0.75536,0.58498,0.62124,1.16224,0.000812,0.000812,0.000812
32,216.913,0.50663,0.59542,1.22365,0.95716,0.70787,0.88656,0.73294,0.69109,0.65471,1.23167,0.0007724,0.0007724,0.0007724
33,223.576,0.52057,0.63681,1.23115,0.93027,0.74952,0.9155,0.72889,0.69439,0.6564,1.26532,0.0007328,0.0007328,0.0007328
34,230.193,0.56795,0.67325,1.2523,0.94097,0.80603,0.91563,0.77584,0.57249,0.57476,1.11342,0.0006932,0.0006932,0.0006932
35,236.787,0.54219,0.62861,1.24855,0.97141,0.76344,0.9527,0.78395,0.58688,0.58624,1.13727,0.0006536,0.0006536,0.0006536
36,243.409,0.52416,0.61422,1.23759,0.97858,0.77014,0.94561,0.78501,0.58341,0.54993,1.14679,0.000614,0.000614,0.000614
37,250.019,0.51483,0.6175,1.22172,0.99052,0.7809,0.95237,0.79359,0.59614,0.54905,1.1455,0.0005744,0.0005744,0.0005744
38,256.595,0.50157,0.60929,1.23947,0.98619,0.78652,0.94195,0.80806,0.49985,0.5495,1.07979,0.0005348,0.0005348,0.0005348
39,263.194,0.47681,0.59783,1.19763,0.99027,0.78652,0.92803,0.79919,0.53609,0.57061,1.09126,0.0004952,0.0004952,0.0004952
40,269.826,0.47021,0.58851,1.1952,0.97257,0.79683,0.95659,0.81816,0.51666,0.51474,1.07224,0.0004556,0.0004556,0.0004556
41,293.267,0.51963,0.63398,1.33851,0.94411,0.83146,0.95141,0.79317,0.54668,0.60706,1.112,0.000416,0.000416,0.000416
42,322.363,0.51163,0.51295,1.33363,0.95368,0.80969,0.94846,0.80522,0.49973,0.55295,1.09345,0.0003764,0.0003764,0.0003764
43,334.471,0.4946,0.50095,1.31485,0.94776,0.88202,0.96356,0.81122,0.49755,0.55646,1.0544,0.0003368,0.0003368,0.0003368
44,341.908,0.47276,0.46359,1.29657,0.94477,0.8764,0.96401,0.82357,0.48068,0.5419,1.05069,0.0002972,0.0002972,0.0002972
45,349.585,0.47386,0.45406,1.28022,0.98589,0.78527,0.9429,0.79702,0.50266,0.55732,1.07858,0.0002576,0.0002576,0.0002576
46,357.935,0.47628,0.41459,1.27863,0.91872,0.82556,0.95906,0.813,0.48318,0.50223,1.04392,0.000218,0.000218,0.000218
47,365.605,0.45204,0.42945,1.25204,0.92959,0.8764,0.96159,0.81596,0.48974,0.49595,1.04372,0.0001784,0.0001784,0.0001784
48,374.363,0.44568,0.41823,1.26536,0.94437,0.85837,0.9579,0.82145,0.47884,0.5124,1.03327,0.0001388,0.0001388,0.0001388
49,383.662,0.44106,0.43355,1.23659,0.93858,0.85393,0.96119,0.82618,0.46607,0.50929,1.02716,9.92e-05,9.92e-05,9.92e-05
50,396.464,0.42216,0.39138,1.2368,0.94283,0.85955,0.9619,0.8219,0.46459,0.49663,1.02611,5.96e-05,5.96e-05,5.96e-05
