epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.47071,0.19364,0.30627,0.88838,0.9847,0.89744,0.97638,0.89807,0.28618,0.45797,0.83092,0.00044,0.00044,0.00044
2,11.8946,0.20911,0.2782,0.89342,0.9876,1,0.995,0.94042,0.34229,0.50576,0.91043,0.0008703,0.0008703,0.0008703
3,15.2485,0.24831,0.31489,0.90989,0.99908,1,0.995,0.98356,0.23753,0.28484,0.82373,0.00127024,0.00127024,0.00127024
4,18.5761,0.27327,0.3212,0.91527,0.96189,1,0.994,0.95418,0.29141,0.36457,0.89663,0.00163982,0.00163982,0.00163982
5,21.8626,0.27289,0.32314,0.91557,0.99901,0.98718,0.99487,0.94333,0.33357,0.38971,0.90509,0.001736,0.001736,0.001736
6,25.235,0.2838,0.3394,0.92869,0.92806,0.9359,0.97785,0.90437,0.3988,0.56299,1.0151,0.00167,0.00167,0.00167
7,28.5451,0.25888,0.34583,0.91713,0.87367,0.9753,0.97937,0.91493,0.32273,0.61978,0.89559,0.001604,0.001604,0.001604
8,31.909,0.26424,0.34631,0.90927,0.99317,0.97436,0.99287,0.89269,0.34617,0.44783,0.94143,0.001538,0.001538,0.001538
9,35.2521,0.26723,0.3199,0.91939,0.91397,0.95342,0.97995,0.92675,0.33144,0.49111,0.92087,0.001472,0.001472,0.001472
10,38.5839,0.24916,0.33412,0.91418,0.98385,0.96154,0.99117,0.97595,0.25843,0.43687,0.87341,0.001406,0.001406,0.001406
11,41.9131,0.24168,0.31662,0.91456,0.9991,1,0.995,0.97089,0.23126,0.25896,0.83219,0.00134,0.00134,0.00134
12,45.2365,0.24387,0.29483,0.90117,0.99899,1,0.995,0.95392,0.30235,0.34079,0.93119,0.001274,0.001274,0.001274
13,48.5785,0.24609,0.32139,0.90009,0.99911,1,0.995,0.93423,0.30567,0.29418,0.96971,0.001208,0.001208,0.001208
14,51.919,0.2397,0.33501,0.90828,0.99636,1,0.995,0.96943,0.26549,0.35434,0.87882,0.001142,0.001142,0.001142
15,55.2519,0.22615,0.29193,0.90459,0.99894,1,0.995,0.98178,0.21443,0.2364,0.81762,0.001076,0.001076,0.001076
16,58.7212,0.21625,0.28111,0.89718,0.99922,1,0.995,0.99083,0.20835,0.22762,0.80339,0.00101,0.00101,0.00101
17,62.0708,0.2098,0.28273,0.90132,0.97413,1,0.99308,0.97303,0.19331,0.27555,0.78296,0.000944,0.000944,0.000944
18,65.4183,0.20712,0.27277,0.89109,0.97444,1,0.99399,0.99247,0.19343,0.22386,0.77823,0.000878,0.000878,0.000878
19,68.7791,0.1983,0.2522,0.88868,0.97062,0.96154,0.99213,0.99213,0.17683,0.31351,0.77265,0.000812,0.000812,0.000812
20,72.1138,0.1997,0.25279,0.88771,0.99908,1,0.995,0.995,0.16404,0.1867,0.76236,0.000746,0.000746,0.000746
21,76.2615,0.16249,0.27333,0.86306,1,0.99537,0.995,0.995,0.16401,0.48274,0.75859,0.00068,0.00068,0.00068
22,79.6067,0.15228,0.24325,0.86491,0.99762,1,0.995,0.98088,0.1714,0.29883,0.77522,0.000614,0.000614,0.000614
23,82.9272,0.14242,0.22206,0.86945,0.99905,1,0.995,0.995,0.15184,0.20216,0.7531,0.000548,0.000548,0.000548
24,86.2542,0.14556,0.22921,0.87723,0.99755,1,0.995,0.995,0.16293,0.22764,0.75576,0.000482,0.000482,0.000482
25,89.5769,0.14671,0.23431,0.87809,0.99885,1,0.995,0.995,0.15107,0.18192,0.75613,0.000416,0.000416,0.000416
26,92.9078,0.12942,0.19977,0.86348,0.99904,1,0.995,0.995,0.13534,0.17314,0.74173,0.00035,0.00035,0.00035
27,96.3669,0.1209,0.19433,0.84455,0.99837,1,0.995,0.99354,0.11987,0.16955,0.73387,0.000284,0.000284,0.000284
28,99.6707,0.10784,0.17657,0.82767,0.99851,1,0.995,0.995,0.10594,0.14955,0.72591,0.000218,0.000218,0.000218
29,102.995,0.10285,0.1841,0.8442,0.99551,1,0.995,0.995,0.10327,0.17621,0.72327,0.000152,0.000152,0.000152
30,106.35,0.09565,0.17005,0.83578,0.99799,1,0.995,0.995,0.09003,0.15397,0.71778,8.6e-05,8.6e-05,8.6e-05
